,title,published_date,views,likes,comments,Month
0,Top 10 SQL Interview Queries | Popular SQL Queries for SQL Interview,2023-11-22,34741,1261,83,Nov
1,SQL Cricket Match Problem | Solving SQL Interview Problem,2023-10-18,18462,809,65,Oct
2,Solving an SQL Interview Problem | Find Child - Parent - Grandparent Hierarchy using SQL,2023-10-04,23875,766,55,Oct
3,From 16 years of CAREER GAP To becoming a Software Engineer | How to get a JOB after a career gap,2023-09-21,13661,390,75,Sep
4,3 SQL Queries Asked in Interview for Business Analyst - Solved,2023-09-13,36893,1324,78,Sep
5,Courses You Can Take To Get Into Data Analytics,2023-09-02,20706,474,72,Sep
6,Solving a Real SQL Interview Problem | Job Vacancies SQL Query,2023-08-25,44008,1554,132,Aug
7,Python Bootcamp for Beginners | Python Course | Live Training,2023-08-20,5842,232,35,Aug
8,SQL Data Analytics Project (PART 3) | Data Analyst Portfolio Project,2023-08-19,9988,342,36,Aug
9,SQL Data Analytics Project (PART 2) | Data Analyst Portfolio Project,2023-08-06,15957,437,53,Aug
10,SQL Data Analytics Project (PART 1) | Data Analyst Portfolio Project,2023-08-04,83752,2486,171,Aug
11,Learn SQL from me | Live SQL Training | SQL Bootcamp,2023-05-25,23394,644,180,May
12,Learn Python here | Learn Python Programming here,2023-05-16,15373,282,25,May
13,Solving a Complex SQL Interview problem | Practice SQL Queries,2023-03-21,44404,1254,115,Mar
14,REAL SQL Interview Problem | Hierarchical data in SQL,2023-03-14,25853,930,66,Mar
15,Complete guide to Database Normalization in SQL,2023-03-07,84618,3642,278,Mar
16,SQL Live class on Lighthall | Learn SQL from Basic to Advance in SQL Bootcamp,2023-01-26,13377,258,152,Jan
17,How to learn SQL for free | Roadmap to learning SQL,2022-12-28,529946,15559,451,Dec
18,Solving an SQL Interview Problem,2022-12-18,44004,1718,21,Dec
19,Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12,22578,944,53,Dec
20,Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07,473313,10596,317,Dec
21,Solving a tricky SQL Interview Query,2022-11-21,46466,1593,132,Nov
22,SQL Interview Query for Data Analyst,2022-11-14,52858,1850,76,Nov
23,Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31,26680,1013,78,Oct
24,SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24,296592,9008,442,Oct
25,Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10,35937,1335,132,Oct
